[COT 2023-05-29 11:53:56] 76561198930893538: Teleported to position <6799.253906, 15.000000, 11667.167969>
[COT 2023-05-29 11:54:14] 76561198040010982: Teleported to <6797.256836, 15.012443, 11672.290039> [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:20] 76561198930893538: Set GodMode To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:22] 76561198930893538: Set cannot be targeted by AI to true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:22] 76561198930893538: Set UnlimitedStamina To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:23] 76561198930893538: Set UnlimitedAmmo To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:23] 76561198040010982: Entered the Free Camera
[COT 2023-05-29 11:54:40] 76561198040010982: Left the Free Camera
[COT 2023-05-29 12:07:38] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Mirek<515c0080>, -1, 100) at <2675.155518, 1.999995, 11146.458008>
[COT 2023-05-29 12:07:50] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorF_Maria<b034f10>, -1, 100) at <2675.206787, 1.999999, 11146.600586>
[COT 2023-05-29 12:08:03] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Kaito<50e102a0>, -1, 100) at <2675.202148, 2.000000, 11146.598633>
[COT 2023-05-29 12:08:17] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Mirek<441d4010>, -1, 100) at <2659.770020, 6.872769, 11136.120117>
[COT 2023-05-29 12:08:17] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Mirek<5368b2a0>, -1, 100) at <2658.745605, 6.902308, 11136.679688>
[COT 2023-05-29 12:08:18] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Mirek<515e40d0>, -1, 100) at <2659.144775, 6.919392, 11136.277344>
[COT 2023-05-29 12:08:18] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Mirek<50d7e530>, -1, 100) at <2659.123535, 6.918033, 11136.301758>
[COT 2023-05-29 12:08:18] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Mirek<50d94f20>, -1, 100) at <2659.098877, 6.920743, 11136.296875>
[COT 2023-05-29 12:08:18] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Mirek<50dab910>, -1, 100) at <2659.030518, 6.920743, 11136.291992>
[COT 2023-05-29 12:08:51] 76561198930893538: Spawned Entity Survivor (eAI_SurvivorM_Cyril<519a3030>, -1, 100) at <2659.273438, 7.344777, 11132.282227>
[COT 2023-05-29 12:09:10] 76561198040010982: Healed [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-05-29 12:09:10] 76561198040010982: Healed [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-05-29 12:09:10] 76561198040010982: Healed [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-05-29 12:09:28] 76561198930893538: Set GodMode To false [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 12:09:30] 76561198930893538: Set cannot be targeted by AI to false [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 12:09:36] 76561198040010982: Spawned Entity Survivor (eAI_SurvivorM_Mirek<51a8d010>, -1, 100) at <2658.542236, 7.435773, 11129.399414>
